bench_strict_projection\t0\t2026-08-19T17:28:11Z\t2026-08-19T17:28:16Z\tcargo test -p openwepp-hillslope-orchestrator all_open_topology_projects_empty_canonical_v8_passes\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_strict_projection.log
bench_one_open_tile\t0\t2026-08-19T17:28:17Z\t2026-08-19T17:28:27Z\tcargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_an_all_open_ofe\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_one_open_tile.log
bench_single_rank_covered\t0\t2026-08-19T17:28:27Z\t2026-08-19T17:28:28Z\tcargo test -p openwepp-land-surface-energy covered_single_rank_potential_fixed_cap_and_alternate_start_match_frozen_oracle\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_single_rank_covered.log
bench_two_rank_covered\t0\t2026-08-19T17:28:28Z\t2026-08-19T17:28:29Z\tcargo test -p openwepp-land-surface-energy covered_multirank_potential_fixed_cap_and_alternate_start_match_frozen_oracle\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_two_rank_covered.log
bench_mixed_open_covered\t0\t2026-08-19T17:28:29Z\t2026-08-19T17:28:29Z\tcargo test --test land_surface_energy_real_hydrology_shadow_contract public_v8_endpoint_closes_mixed_open_and_covered_owners_once\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_mixed_open_covered.log
bench_complete_public_envelope\t0\t2026-08-19T17:28:29Z\t2026-08-19T17:28:30Z\tcargo test --test land_surface_energy_real_hydrology_shadow_contract\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_complete_public_envelope.log
bench_actual_byte_rollback\t0\t2026-08-19T17:28:30Z\t2026-08-19T17:28:32Z\tcargo test -p openwepp-hillslope-orchestrator every_injected_phase_preserves_all_six_actual_owner_byte_records\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/bench_actual_byte_rollback.log
child4_test_01_48_replaces_complete_shadow\t0\t2026-08-19T17:28:32Z\t2026-08-19T17:28:35Z\tcargo test -p openwepp-hillslope-orchestrator forty_eight_interval_day_replaces_only_complete_shadow_state\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_01_48_replaces_complete_shadow.log
child4_test_02_48_late_failure\t0\t2026-08-19T17:28:35Z\t2026-08-19T17:28:39Z\tcargo test -p openwepp-hillslope-orchestrator failed_late_interval_rolls_back_every_shadow_and_production_byte\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_02_48_late_failure.log
child4_test_03_half_day_restart\t0\t2026-08-19T17:28:39Z\t2026-08-19T17:28:46Z\tcargo test -p openwepp-hillslope-orchestrator retained_half_day_restart_is_byte_identical_to_uninterrupted_day\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_03_half_day_restart.log
child4_test_04_shared_soil_aggregation\t0\t2026-08-19T17:28:46Z\t2026-08-19T17:28:47Z\tcargo test -p openwepp-hillslope-orchestrator shared_soil_thermal_aggregation_is_ordered_complete_and_owner_bound\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_04_shared_soil_aggregation.log
child4_test_05_mixed_lineage_rejected\t0\t2026-08-19T17:28:47Z\t2026-08-19T17:28:47Z\tcargo test -p openwepp-hillslope-orchestrator mixed_complete_owner_lineage_is_rejected_before_execution\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_05_mixed_lineage_rejected.log
child4_test_06_projection_source_lineage_mass\t0\t2026-08-19T17:28:47Z\t2026-08-19T17:28:48Z\tcargo test -p openwepp-hillslope-orchestrator repository_projection_binds_source_lineage_and_exact_liquid_mass\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_06_projection_source_lineage_mass.log
child4_test_07_scheduler_equivalence\t0\t2026-08-19T17:28:48Z\t2026-08-19T17:28:51Z\tcargo test -p openwepp-hillslope-orchestrator explicit_scheduler_consumer_advances_shadow_without_changing_production\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_07_scheduler_equivalence.log
child4_test_08_downstream_rollback\t0\t2026-08-19T17:28:51Z\t2026-08-19T17:28:55Z\tcargo test -p openwepp-hillslope-orchestrator downstream_scheduler_failure_discards_production_and_complete_shadow_candidate\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_08_downstream_rollback.log
child4_test_09_routing_unsupported\t0\t2026-08-19T17:28:55Z\t2026-08-19T17:28:56Z\tcargo test -p openwepp-hillslope-orchestrator active_routing_is_typed_unsupported_before_any_shadow_or_production_change\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_09_routing_unsupported.log
child4_test_10_receipt_mismatch\t0\t2026-08-19T17:28:56Z\t2026-08-19T17:28:56Z\tcargo test -p openwepp-hillslope-orchestrator repository_day_receipt_mismatch_discards_both_candidates\tdocs/work-packages/20260814-vegetation-land-surface-real-consumer-shadow-001/artifacts/comparator-heavy/20260819T172811Z-child4-rerun/logs/child4_test_10_receipt_mismatch.log
