arm_id,site,year,live_biomass_year_end_kg_m2,flat_residue_year_end_kg_m2,current_flat_residue_year_end_kg_m2,previous_flat_residue_year_end_kg_m2,old_flat_residue_year_end_kg_m2,live_biomass_min_kg_m2,live_biomass_max_kg_m2,flat_residue_min_kg_m2,flat_residue_max_kg_m2,annual_live_decline_sum_kg_m2,annual_litter_transfer_kg_m2,annual_runoff_mm,annual_sediment_delivery_kg_m
hubbard_constant,HUBBARD_BROOK,1,0.164,1.3816,1.3816,0.0,0.0,0.164,0.164,1.3816,1.3816,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,2,0.164,1.3816,1.3816,0.0,0.0,0.164,0.164,1.3816,1.3816,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,3,0.164,1.3817,1.3817,0.0,0.0,0.164,0.164,1.3816,1.3817,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,4,0.164,1.3817,1.3817,0.0,0.0,0.164,0.164,1.3817,1.3817,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,5,0.164,1.3818,1.3818,0.0,0.0,0.164,0.164,1.3817,1.3818,0.0,0.0,52.6,0.0
hubbard_constant,HUBBARD_BROOK,6,0.164,1.3818,1.3818,0.0,0.0,0.164,0.164,1.3818,1.3818,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,7,0.164,1.3819,1.3819,0.0,0.0,0.164,0.164,1.3818,1.3819,0.0,0.0,4.4,0.0
hubbard_constant,HUBBARD_BROOK,8,0.164,1.3819,1.3819,0.0,0.0,0.164,0.164,1.3819,1.3819,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,9,0.164,1.3819,1.3819,0.0,0.0,0.164,0.164,1.3819,1.3819,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,10,0.164,1.382,1.382,0.0,0.0,0.164,0.164,1.3819,1.382,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,11,0.164,1.382,1.382,0.0,0.0,0.164,0.164,1.382,1.382,0.0,0.0,1.6,0.0
hubbard_constant,HUBBARD_BROOK,12,0.164,1.3821,1.3821,0.0,0.0,0.164,0.164,1.382,1.3821,0.0,0.0,12.0,0.0
hubbard_constant,HUBBARD_BROOK,13,0.164,1.3821,1.3821,0.0,0.0,0.164,0.164,1.3821,1.3821,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,14,0.164,1.3822,1.3822,0.0,0.0,0.164,0.164,1.3821,1.3822,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,15,0.164,1.3822,1.3822,0.0,0.0,0.164,0.164,1.3822,1.3822,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,16,0.164,1.3823,1.3823,0.0,0.0,0.164,0.164,1.3822,1.3823,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,17,0.164,1.3823,1.3823,0.0,0.0,0.164,0.164,1.3823,1.3823,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,18,0.164,1.3823,1.3823,0.0,0.0,0.164,0.164,1.3823,1.3823,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,19,0.164,1.3824,1.3824,0.0,0.0,0.164,0.164,1.3823,1.3824,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,20,0.164,1.3824,1.3824,0.0,0.0,0.164,0.164,1.3824,1.3824,0.0,0.0,4.5,0.0
hubbard_constant,HUBBARD_BROOK,21,0.164,1.3825,1.3825,0.0,0.0,0.164,0.164,1.3824,1.3825,0.0,0.0,28.799999999999997,0.2
hubbard_constant,HUBBARD_BROOK,22,0.164,1.3825,1.3825,0.0,0.0,0.164,0.164,1.3825,1.3825,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,23,0.164,1.3826,1.3826,0.0,0.0,0.164,0.164,1.3825,1.3826,0.0,0.0,38.6,0.0
hubbard_constant,HUBBARD_BROOK,24,0.164,1.3826,1.3826,0.0,0.0,0.164,0.164,1.3826,1.3826,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,25,0.164,1.3826,1.3826,0.0,0.0,0.164,0.164,1.3826,1.3826,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,26,0.164,1.3827,1.3827,0.0,0.0,0.164,0.164,1.3826,1.3827,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,27,0.164,1.3827,1.3827,0.0,0.0,0.164,0.164,1.3827,1.3827,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,28,0.164,1.3828,1.3828,0.0,0.0,0.164,0.164,1.3827,1.3828,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,29,0.164,1.3828,1.3828,0.0,0.0,0.164,0.164,1.3828,1.3828,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,30,0.164,1.3829,1.3829,0.0,0.0,0.164,0.164,1.3828,1.3829,0.0,0.0,12.6,0.0
hubbard_constant,HUBBARD_BROOK,31,0.164,1.3829,1.3829,0.0,0.0,0.164,0.164,1.3829,1.3829,0.0,0.0,60.3,0.0
hubbard_constant,HUBBARD_BROOK,32,0.164,1.3829,1.3829,0.0,0.0,0.164,0.164,1.3829,1.3829,0.0,0.0,0,0
hubbard_constant,HUBBARD_BROOK,33,0.164,1.383,1.383,0.0,0.0,0.164,0.164,1.3829,1.383,0.0,0.0,0,0
