plot_id,year,minimum_yday,maximum_calibration_interval_upper_doy,selected_row_count,derived_source_path,derived_source_sha256,raw_source_id,raw_source_path,raw_source_sha256,state
1B,2024,60,141,82,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-1B,references/canopy_phenology/daymet_calibration/raw/hubbard_1B_daymet_v4r1_1989_2024.csv,bd5bf4826b9e9fb7c72a69c57874090934f68beec710b3ecb8b292ad4a636cf6,PASS
4B,1989,60,142,83,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1990,60,149,90,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1991,60,133,74,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1992,60,147,88,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1993,60,137,78,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1994,60,143,84,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1995,60,150,91,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1996,60,149,90,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1997,60,153,94,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1998,60,131,72,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,1999,60,137,78,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2000,60,143,84,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2001,60,134,75,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2002,60,148,89,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2004,60,138,79,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2005,60,151,92,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2006,60,150,91,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2007,60,142,83,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2008,60,141,82,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2009,60,138,79,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2010,60,130,71,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2011,60,143,84,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2012,60,142,83,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2013,60,133,74,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2014,60,147,88,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2015,60,133,74,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2016,60,144,85,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2017,60,142,83,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2018,60,141,82,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
4B,2019,60,148,89,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,DAYMET-HB-4B,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
